

acc
| count/比例 | 0.10: 0.70: 0.2 | 0.20: 0.60: 0.2 | 0.30: 0.50: 0.2 | 0.40: 0.40: 0.2 | 0.50: 0.30: 0.2 | 0.60: 0.20: 0.2 | 0.70: 0.10: 0.2 |
| --------: | ---------------: | ---------------: | ---------------: | ---------------: | ---------------: | ---------------: | ---------------: |
| 1 | 0.1818 | 0.45409999999999995 | 0.5390999999999999 | 0.5625 | 0.6692 | 0.6807 | 0.7523000000000001 |
| 2 | 0.2159 | 0.2992 | 0.5455 | 0.6758 | 0.7004 | 0.7038 | 0.7409 |
| 3 | 0.0604 | 0.23989999999999997 | 0.5533 | 0.6536 | 0.6578 | 0.7111 | 0.7609 |
| 4 | 0.163 | 0.3651 | 0.45880000000000004 | 0.6354 | 0.6901999999999999 | 0.6960999999999999 | 0.6911 |
| 5 | 0.2164 | 0.35340000000000005 | 0.5215 | 0.6548999999999999 | 0.6461 | 0.7301000000000001 | 0.7545000000000001 |
| 6 | 0.0682 | 0.3643 | 0.47979999999999995 | 0.6445000000000001 | 0.6561 | 0.7437 | 0.7323000000000001 |
| 7 | 0.1349 | 0.1378 | 0.5306000000000001 | 0.6263000000000001 | 0.6826000000000001 | 0.74 | 0.6829999999999999 |
| 8 | 0.1943 | 0.4485 | 0.5466 | 0.569 | 0.7151000000000001 | 0.6644 | 0.7395999999999999 |
| 9 | 0.18309999999999998 | 0.2525 | 0.5215 | 0.5104 | 0.6959000000000001 | 0.6729999999999999 | 0.7645000000000001 |
| 10 | 0.2352 | 0.307 | 0.25730000000000003 | 0.6496999999999999 | 0.7413 | 0.7432 | 0.7278 |
| average | 0.16532 | 0.32218 | 0.49539999999999995 | 0.6182099999999999 | 0.68547 | 0.70861 | 0.7346900000000001 |

loss
| count/比例 | 0.10: 0.70: 0.2 | 0.20: 0.60: 0.2 | 0.30: 0.50: 0.2 | 0.40: 0.40: 0.2 | 0.50: 0.30: 0.2 | 0.60: 0.20: 0.2 | 0.70: 0.10: 0.2 |
| --------: | ---------------: | ---------------: | ---------------: | ---------------: | ---------------: | ---------------: | ---------------: |
| 1 | 3.6142 | 2.8417 | 3.9562 | 2.9158 | 2.2525 | 2.6159 | 3.2815 |
| 2 | 3.6711 | 3.6685 | 3.2148 | 2.2747 | 3.75 | 2.6284 | 2.7587 |
| 3 | 4.1017 | 3.215 | 4.7634 | 3.1522 | 4.2158 | 2.0402 | 2.2698 |
| 4 | 3.2395 | 3.1684 | 3.6697 | 3.3027 | 2.25 | 3.2328 | 2.5595 |
| 5 | 3.3954 | 3.6957 | 4.3968 | 2.3015 | 4.0876 | 2.6041 | 2.8131 |
| 6 | 3.7656 | 4.4258 | 2.9159 | 2.5114 | 3.9602 | 2.2778 | 4.0425 |
| 7 | 3.5288 | 3.5039 | 3.1417 | 4.694 | 3.1303 | 2.8276 | 2.2502 |
| 8 | 3.4957 | 4.4873 | 2.9926 | 3.9175 | 2.4448 | 2.8804 | 3.8945 |
| 9 | 3.6652 | 3.2843 | 3.8952 | 2.2691 | 3.2769 | 2.3225 | 2.9258 |
| 10 | 3.2807 | 3.6312 | 2.8551 | 3.0446 | 2.6778 | 1.9933 | 2.433 |
| average | 3.57579 | 3.59218 | 3.58014 | 3.0383500000000003 | 3.2045900000000005 | 2.5423 | 2.92286 |
