

acc
| count/波段索引 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 |
| ----------: | -: | -: | -: | -: | -: | -: | -: | -: | -: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: |
| 1 | 0.7409 | 0.7857999999999999 | 0.7029000000000001 | 0.7536 | 0.7328 | 0.7111 | 0.7192000000000001 | 0.7582 | 0.7373000000000001 | 0.7254999999999999 | 0.7295999999999999 | 0.731 | 0.74 | 0.769 | 0.7437 | 0.7613 | 0.7831 | 0.7681 | 0.7707999999999999 | 0.7369 | 0.7781 | 0.7572 | 0.7337 | 0.7314 | 0.755 |
| 2 | 0.7772 | 0.7731 | 0.7554000000000001 | 0.7269 | 0.7369 | 0.7514 | 0.7232999999999999 | 0.7626999999999999 | 0.7595000000000001 | 0.7491 | 0.7545000000000001 | 0.7912 | 0.7663 | 0.7857999999999999 | 0.7894 | 0.7867000000000001 | 0.7541 | 0.7707999999999999 | 0.7378 | 0.7341 | 0.7785 | 0.7378 | 0.7541 | 0.7532 | 0.75 |
| 3 | 0.7698999999999999 | 0.7459 | 0.7695000000000001 | 0.7101000000000001 | 0.6957 | 0.7188 | 0.7848999999999999 | 0.7505 | 0.7835 | 0.7454999999999999 | 0.7754000000000001 | 0.7337 | 0.7428 | 0.7889 | 0.7323000000000001 | 0.7862 | 0.7115 | 0.7736 | 0.7867000000000001 | 0.75 | 0.755 | 0.7726000000000001 | 0.7812 | 0.7822 | 0.7332 |
| 4 | 0.8007 | 0.7704000000000001 | 0.7219 | 0.7242000000000001 | 0.7514 | 0.7609 | 0.716 | 0.7337 | 0.769 | 0.7283 | 0.7418 | 0.7676999999999999 | 0.7532 | 0.7514 | 0.7645000000000001 | 0.7201000000000001 | 0.7704000000000001 | 0.7536 | 0.779 | 0.7826000000000001 | 0.7613 | 0.7812 | 0.7278 | 0.7676999999999999 | 0.7604000000000001 |
| 5 | 0.7803 | 0.7454999999999999 | 0.7898999999999999 | 0.7698999999999999 | 0.7631 | 0.7979999999999999 | 0.7754000000000001 | 0.7337 | 0.7464 | 0.7831 | 0.7944 | 0.8043 | 0.7979999999999999 | 0.7536 | 0.8134 | 0.8053 | 0.7763 | 0.7862 | 0.8107 | 0.7576999999999999 | 0.7473000000000001 | 0.7672 | 0.7591 | 0.7903 | 0.8234 |
| 6 | 0.7695000000000001 | 0.7459 | 0.7432 | 0.7731 | 0.7418 | 0.7704000000000001 | 0.8057 | 0.7812 | 0.8151999999999999 | 0.784 | 0.8166 | 0.8003 | 0.7889 | 0.7867000000000001 | 0.7867000000000001 | 0.7817000000000001 | 0.7514 | 0.7736 | 0.8210999999999999 | 0.7609 | 0.7781 | 0.7798999999999999 | 0.8216 | 0.8043 | 0.7785 |
| 7 | 0.7835 | 0.745 | 0.779 | 0.7722 | 0.7251000000000001 | 0.779 | 0.7745000000000001 | 0.8101999999999999 | 0.7626999999999999 | 0.7835 | 0.7885 | 0.7912 | 0.7763 | 0.7713 | 0.8143 | 0.769 | 0.7707999999999999 | 0.8089 | 0.7979999999999999 | 0.8062 | 0.75 | 0.7354999999999999 | 0.7885 | 0.812 | 0.745 |
| 8 | 0.7409 | 0.7785 | 0.7432 | 0.7251000000000001 | 0.769 | 0.7722 | 0.7418 | 0.7817000000000001 | 0.7726000000000001 | 0.7486 | 0.7772 | 0.7518 | 0.7414000000000001 | 0.7404999999999999 | 0.7409 | 0.8003 | 0.7695000000000001 | 0.7545000000000001 | 0.7654000000000001 | 0.7785 | 0.7826000000000001 | 0.7803 | 0.7745000000000001 | 0.7582 | 0.7563 |
| 9 | 0.6581 | 0.7242000000000001 | 0.6875 | 0.6875 | 0.6947 | 0.7445999999999999 | 0.7432 | 0.7582 | 0.7043 | 0.7418 | 0.7391 | 0.7287 | 0.7486 | 0.731 | 0.7061 | 0.7201000000000001 | 0.6557999999999999 | 0.7323000000000001 | 0.7065 | 0.7283 | 0.7518 | 0.7228 | 0.7079000000000001 | 0.7029000000000001 | 0.7245999999999999 |
