

acc
| count/波段索引 | R | G | B |
| ----------: | -: | -: | -: |
| 1 | 0.7515000000000001 | 0.7297 | 0.6979000000000001 |
| 2 | 0.7223 | 0.7382 | 0.7167 |
| 3 | 0.7303000000000001 | 0.6995999999999999 | 0.6639 |
| 4 | 0.7192000000000001 | 0.7217 | 0.6263000000000001 |
| 5 | 0.7286 | 0.6377 | 0.6806 |
| average | 0.73038 | 0.70538 | 0.67708 |

loss
| count/波段索引 | R | G | B |
| ----------: | -: | -: | -: |
| 1 | 1.2973 | 1.5255 | 1.3572 |
| 2 | 1.2896 | 1.3162 | 1.4087 |
| 3 | 1.5191 | 1.5242 | 1.5751 |
| 4 | 1.2566 | 1.321 | 1.5907 |
| 5 | 1.3011 | 1.5228 | 1.4258 |
| average | 1.3327399999999998 | 1.44194 | 1.4715 |
