

acc
| count/组合数 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 |
| ---------: | -: | -: | -: | -: | -: | -: | -: | -: | -: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: |
| 1 | 0.9055 | 0.9056000000000001 | 0.9662000000000001 | 0.9251999999999999 | 0.9601999999999999 | 0.9601000000000001 | 0.9445 | 0.9506 | 0.9312 | 0.9168000000000001 | 0.93 | 0.9455 | 0.9192 | 0.953 | 0.9216 | 0.9046 | 0.8981999999999999 | 0.9258 | 0.8987999999999999 | 0.953 | 0.9542 | 0.8983 | 0.955 | 0.9398000000000001 | 0.8996999999999999 |
| 2 | 0.8892 | 0.9007999999999999 | 0.9299 | 0.9517 | 0.9286 | 0.9431 | 0.9590000000000001 | 0.9226000000000001 | 0.9577 | 0.8887 | 0.9131999999999999 | 0.9490999999999999 | 0.8835999999999999 | 0.9323 | 0.9009 | 0.9264 | 0.9348000000000001 | 0.9323 | 0.96 | 0.9673 | 0.9395 | 0.9479000000000001 | 0.8998999999999999 | 0.8998999999999999 | 0.9047 |
| 3 | 0.9251 | 0.888 | 0.935 | 0.9083 | 0.9386 | 0.9469 | 0.9025 | 0.9386 | 0.9312 | 0.9072 | 0.93 | 0.9262 | 0.9419 | 0.9216 | 0.9347 | 0.9518000000000001 | 0.9576 | 0.9362 | 0.8656 | 0.894 | 0.9346 | 0.9299 | 0.8793000000000001 | 0.9445999999999999 | 0.9470000000000001 |
| 4 | 0.9359999999999999 | 0.9384999999999999 | 0.9422 | 0.9542 | 0.9348000000000001 | 0.9420999999999999 | 0.867 | 0.9083 | 0.8794 | 0.9457 | 0.9109 | 0.8626999999999999 | 0.9276000000000001 | 0.9057999999999999 | 0.9445 | 0.8844 | 0.8545 | 0.9131999999999999 | 0.8795999999999999 | 0.9322 | 0.9348000000000001 | 0.9063 | 0.9445 | 0.9378 | 0.9383 |
| 5 | 0.9397 | 0.8473 | 0.9262999999999999 | 0.9405 | 0.9347 | 0.9420999999999999 | 0.9228000000000001 | 0.9541 | 0.9409000000000001 | 0.9198000000000001 | 0.9548000000000001 | 0.9464 | 0.9214 | 0.9187000000000001 | 0.8826999999999999 | 0.9395 | 0.9143000000000001 | 0.9143000000000001 | 0.9384999999999999 | 0.9094 | 0.9251999999999999 | 0.9331 | 0.8994 | 0.9288 | 0.9383 |
| average | 0.9191 | 0.89604 | 0.9399200000000001 | 0.93598 | 0.9393800000000001 | 0.9468599999999998 | 0.9191600000000001 | 0.9348400000000001 | 0.9280799999999999 | 0.91564 | 0.9277799999999999 | 0.92598 | 0.91874 | 0.92628 | 0.9168800000000001 | 0.92134 | 0.91188 | 0.9243599999999998 | 0.9085000000000001 | 0.93118 | 0.9376599999999999 | 0.9231 | 0.91562 | 0.93018 | 0.9256 |

loss
| count/组合数 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 |
| ---------: | -: | -: | -: | -: | -: | -: | -: | -: | -: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: |
| 1 | 0.469 | 0.4575 | 0.2135 | 0.3826 | 0.2113 | 0.19 | 0.2932 | 0.205 | 0.369 | 0.3878 | 0.3968 | 0.2962 | 0.501 | 0.2399 | 0.3505 | 0.5772 | 0.4726 | 0.4105 | 0.3884 | 0.3993 | 0.1844 | 0.4352 | 0.2622 | 0.3335 | 0.4446 |
