

acc
| count/波段步长 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 |
| ----------: | -: | -: | -: | -: | -: | -: | -: | -: | -: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: |
| 1 | 0.9914000000000001 | 0.9863 | 0.9833 | 0.9895 | 0.9891 | 0.9875 | 0.9898 | 0.9875 | 0.9883 | 0.9875 | 0.9871 | 0.9875 | 0.9859 | 0.9906 | 0.9898 | 0.9887 | 0.9883 | 0.9854999999999999 | 0.9918 | 0.9895 | 0.9852 | 0.9883 | 0.9918 | 0.982 | 0.9859 |
| 2 | 0.991 | 0.9914000000000001 | 0.9895 | 0.9918 | 0.9902 | 0.9902 | 0.9941 | 0.9945 | 0.9941 | 0.9891 | 0.9895 | 0.9891 | 0.9898 | 0.9934000000000001 | 0.9911 | 0.9937 | 0.9906 | 0.9891 | 0.9914000000000001 | 0.9906 | 0.9926 | 0.9898 | 0.9895 | 0.9879000000000001 | 0.9934000000000001 |
| 3 | 0.9902 | 0.9899 | 0.9891 | 0.9864 | 0.9922 | 0.9832 | 0.9887999999999999 | 0.9906999999999999 | 0.9903 | 0.9891 | 0.986 | 0.995 | 0.9906999999999999 | 0.993 | 0.9872 | 0.9892 | 0.9841 | 0.9911 | 0.9879000000000001 | 0.9864 | 0.9934000000000001 | 0.9879000000000001 | 0.9926 | 0.9884000000000001 | 0.993 |
| 4 | 0.9918 | 0.9895 | 0.9937 | 0.9914000000000001 | 0.9883 | 0.991 | 0.9852 | 0.9848 | 0.9898 | 0.9867 | 0.9902 | 0.9883 | 0.9918 | 0.9871 | 0.9902 | 0.9914000000000001 | 0.9863 | 0.9875 | 0.9875 | 0.9898 | 0.9906 | 0.9922 | 0.9859 | 0.9906 | 0.9934000000000001 |
| 5 | 0.9879000000000001 | 0.9832 | 0.9848 | 0.991 | 0.9867 | 0.9898 | 0.9867 | 0.9883 | 0.9898 | 0.9871 | 0.9902 | 0.9883 | 0.9906 | 0.9854999999999999 | 0.9859 | 0.9906 | 0.9887 | 0.9902 | 0.9832 | 0.9859 | 0.9887 | 0.9898 | 0.9843999999999999 | 0.9922 | 0.9871 |
| average | 0.99046 | 0.9880599999999999 | 0.9880800000000001 | 0.99002 | 0.9892999999999998 | 0.98834 | 0.9889199999999999 | 0.98916 | 0.9904599999999999 | 0.9879 | 0.9885999999999999 | 0.98964 | 0.9897600000000001 | 0.9899199999999999 | 0.98884 | 0.9907199999999999 | 0.9875999999999999 | 0.9886799999999999 | 0.9883600000000001 | 0.9884400000000001 | 0.9901 | 0.9896 | 0.98884 | 0.9882200000000001 | 0.99056 |

loss
| count/波段步长 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 |
| ----------: | -: | -: | -: | -: | -: | -: | -: | -: | -: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: | --: |
| 1 | 0.047 | 0.075 | 0.0642 | 0.0513 | 0.0506 | 0.0724 | 0.0622 | 0.0619 | 0.0656 | 0.0581 | 0.068 | 0.0496 | 0.0687 | 0.0393 | 0.034 | 0.0609 | 0.0731 | 0.0748 | 0.0373 | 0.0526 | 0.0759 | 0.0489 | 0.0648 | 0.0951 | 0.0849 |
| 2 | 0.0513 | 0.0368 | 0.0436 | 0.0516 | 0.0488 | 0.0632 | 0.039 | 0.033 | 0.0405 | 0.0477 | 0.0434 | 0.0544 | 0.0579 | 0.0296 | 0.0562 | 0.0377 | 0.0406 | 0.0618 | 0.0542 | 0.0432 | 0.036 | 0.078 | 0.0682 | 0.0775 | 0.047 |
| 3 | 0.0685 | 0.0665 | 0.0751 | 0.0889 | 0.0273 | 0.0943 | 0.0636 | 0.0515 | 0.0521 | 0.067 | 0.0713 | 0.0399 | 0.0555 | 0.055 | 0.0698 | 0.0481 | 0.1016 | 0.0387 | 0.0651 | 0.0774 | 0.0426 | 0.0825 | 0.0407 | 0.0534 | 0.0629 |
| 4 | 0.0339 | 0.0544 | 0.0311 | 0.0468 | 0.0582 | 0.0358 | 0.0783 | 0.0816 | 0.0627 | 0.0669 | 0.056 | 0.0698 | 0.0597 | 0.0659 | 0.0415 | 0.0401 | 0.0621 | 0.0505 | 0.0656 | 0.0562 | 0.0486 | 0.0563 | 0.0762 | 0.0593 | 0.0468 |
| 5 | 0.0808 | 0.108 | 0.0776 | 0.0433 | 0.0939 | 0.0624 | 0.0748 | 0.0774 | 0.0639 | 0.08 | 0.0576 | 0.0873 | 0.0835 | 0.0804 | 0.0873 | 0.0429 | 0.0754 | 0.0472 | 0.0987 | 0.0776 | 0.0556 | 0.0761 | 0.0892 | 0.0597 | 0.0731 |
| average | 0.056299999999999996 | 0.06814 | 0.05832 | 0.05638 | 0.05576 | 0.06562 | 0.06358 | 0.06108 | 0.05696 | 0.06394000000000001 | 0.05926 | 0.0602 | 0.06505999999999999 | 0.05404 | 0.05776 | 0.045939999999999995 | 0.07056 | 0.0546 | 0.06418 | 0.061399999999999996 | 0.051739999999999994 | 0.06836 | 0.06782 | 0.06899999999999999 | 0.06294000000000001 |
