

acc
| count/位置 | 1 | 2 | 3 | 4 | 5 | 6 | 7 |
| --------: | -: | -: | -: | -: | -: | -: | -: |
| 1 | 0.9304347634315491 | 0.9890109896659851 | 0.9897959232330322 | 0.9597989916801453 | 0.9727272987365723 | 0.9433962106704712 | 0.8454545736312866 |
| 2 | 0.8272727131843567 | 0.9622641801834106 | 0.9818181991577148 | 0.9384615421295166 | 0.9893617033958435 | 0.9357798099517822 | 0.8285714387893677 |
| 3 | 0.8073394298553467 | 0.9769230484962463 | 1.0 | 0.9659090638160706 | 0.9902912378311157 | 0.9523809552192688 | 0.8514851331710815 |
| 4 | 0.8363636136054993 | 0.9528301954269409 | 0.9587628841400146 | 0.9528796076774597 | 0.9482758641242981 | 0.9489796161651611 | 0.7837837934494019 |
| 5 | 0.8407079577445984 | 0.9797979593276978 | 0.982300877571106 | 0.9617486596107483 | 0.9807692170143127 | 0.9895833134651184 | 0.8842975497245789 |
| average | 0.84842369556427 | 0.9721652746200562 | 0.9825355768203735 | 0.9557595729827881 | 0.9762850642204285 | 0.9540239810943604 | 0.8387184977531433 |

loss
| count/位置 | 1 | 2 | 3 | 4 | 5 | 6 | 7 |
| --------: | -: | -: | -: | -: | -: | -: | -: |
| 1 | 0.46516335010528564 | 0.030804017558693886 | 0.036316562443971634 | 0.3195633292198181 | 0.23156127333641052 | 0.17818404734134674 | 0.7298733592033386 |
| 2 | 0.8053836226463318 | 0.17389707267284393 | 0.15099187195301056 | 0.2555968761444092 | 0.0724916085600853 | 0.2233729511499405 | 0.8570314049720764 |
| 3 | 0.901444673538208 | 0.09998495876789093 | 0.0629013180732727 | 0.15705424547195435 | 0.20752596855163574 | 0.18322187662124634 | 0.6927688717842102 |
| 4 | 0.7416712045669556 | 0.23027673363685608 | 0.21197019517421722 | 0.2374773621559143 | 0.18385827541351318 | 0.21589897572994232 | 1.1650221347808838 |
| 5 | 1.0006636381149292 | 0.04727545753121376 | 0.08522555232048035 | 0.1996830552816391 | 0.04238962382078171 | 0.042731598019599915 | 0.47946643829345703 |
| average | 0.782865297794342 | 0.11644764803349972 | 0.1094810999929905 | 0.23387497365474702 | 0.1475653499364853 | 0.16868188977241516 | 0.7848324418067932 |
