

acc
| count/光照 | illum1 | illum2 | illum3 | normal |
| --------: | ------: | ------: | ------: | ------: |
| 1 | 0.774193525314331 | 0.746268630027771 | 0.7635468244552612 | 0.6634615659713745 |
| 2 | 0.7047619223594666 | 0.7699999809265137 | 0.7298578023910522 | 0.682692289352417 |
| 3 | 0.7042253613471985 | 0.6919642686843872 | 0.6815920472145081 | 0.6492146849632263 |
| 4 | 0.7836538553237915 | 0.7909091114997864 | 0.7475247383117676 | 0.6934673190116882 |
| 5 | 0.764102578163147 | 0.8009259104728699 | 0.8333333134651184 | 0.7524752616882324 |
| average | 0.7461874485015869 | 0.7600135803222656 | 0.7511709451675415 | 0.6882622241973877 |

loss
| count/光照 | illum1 | illum2 | illum3 | normal |
| --------: | ------: | ------: | ------: | ------: |
| 1 | 0.8474841117858887 | 1.2554359436035156 | 1.2438684701919556 | 1.6745892763137817 |
| 2 | 1.0703822374343872 | 1.474153995513916 | 1.2931591272354126 | 1.8105355501174927 |
| 3 | 1.2859147787094116 | 1.4190694093704224 | 1.3152297735214233 | 1.7251135110855103 |
| 4 | 0.8544989228248596 | 1.0853160619735718 | 1.1699944734573364 | 1.5005419254302979 |
| 5 | 1.032544732093811 | 1.0119115114212036 | 0.9546257853507996 | 1.4654229879379272 |
| average | 0.7461874485015869 | 0.7600135803222656 | 0.7511709451675416 | 0.6882622241973877 |
